total_price	total_flight_hours	total_layover_hours	total_num_stops	departure_datetime	returning_datetime	start_city	end_city	stopover_cities	formatted_string
736.0	15.5	0.0	0	2025-12-14T11:40:00	2025-12-22T09:45:00	London, Gatwick	London, Gatwick	['Toronto']	"2025-12-14 11:40:00 - 2025-12-22 09:45:00 | $736.0 | 15 hr 30 min

London, Gatwick | START

[FLIGHT 1]: $0.0 | 8 hr 20 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-14 11:40:00 - 2025-12-14 15:00:00 | LGW-YYZ | 8 hr 20 min | TS 123 | Air Transat

Toronto | 7 days 6 hr 35 min

[FLIGHT 1]: $736.0 | 7 hr 10 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-21 21:35:00 - 2025-12-22 09:45:00 | YYZ-LGW | 7 hr 10 min | TS 122 | Air Transat

London, Gatwick | END"
749.0	15.5	0.0	0	2025-12-13T11:40:00	2025-12-22T09:45:00	London, Gatwick	London, Gatwick	['Toronto']	"2025-12-13 11:40:00 - 2025-12-22 09:45:00 | $749.0 | 15 hr 30 min

London, Gatwick | START

[FLIGHT 1]: $0.0 | 8 hr 20 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-13 11:40:00 - 2025-12-13 15:00:00 | LGW-YYZ | 8 hr 20 min | TS 123 | Air Transat

Toronto | 8 days 6 hr 35 min

[FLIGHT 1]: $749.0 | 7 hr 10 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-21 21:35:00 - 2025-12-22 09:45:00 | YYZ-LGW | 7 hr 10 min | TS 122 | Air Transat

London, Gatwick | END"
802.0	15.5	0.0	0	2025-12-14T11:40:00	2025-12-23T09:45:00	London, Gatwick	London, Gatwick	['Toronto']	"2025-12-14 11:40:00 - 2025-12-23 09:45:00 | $802.0 | 15 hr 30 min

London, Gatwick | START

[FLIGHT 1]: $0.0 | 8 hr 20 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-14 11:40:00 - 2025-12-14 15:00:00 | LGW-YYZ | 8 hr 20 min | TS 123 | Air Transat

Toronto | 8 days 6 hr 35 min

[FLIGHT 1]: $802.0 | 7 hr 10 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-22 21:35:00 - 2025-12-23 09:45:00 | YYZ-LGW | 7 hr 10 min | TS 122 | Air Transat

London, Gatwick | END"
877.0	15.5	0.0	0	2025-12-14T11:10:00	2025-12-23T06:30:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-14 11:10:00 - 2025-12-23 06:30:00 | $877.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-14 11:10:00 - 2025-12-14 14:20:00 | LHR-YYZ | 8 hr 10 min | AC 855 | Air Canada

Toronto | 8 days 3 hr 50 min

[FLIGHT 1]: $877.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-22 18:10:00 - 2025-12-23 06:30:00 | YYZ-LHR | 7 hr 20 min | AC 854 | Air Canada

London, Heathrow | END"
905.0	15.5	0.0	0	2025-12-13T11:10:00	2025-12-22T06:30:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-13 11:10:00 - 2025-12-22 06:30:00 | $905.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-13 11:10:00 - 2025-12-13 14:20:00 | LHR-YYZ | 8 hr 10 min | AC 855 | Air Canada

Toronto | 8 days 3 hr 50 min

[FLIGHT 1]: $905.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-21 18:10:00 - 2025-12-22 06:30:00 | YYZ-LHR | 7 hr 20 min | AC 854 | Air Canada

London, Heathrow | END"
905.0	15.5	0.0	0	2025-12-14T18:00:00	2025-12-22T06:30:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-14 18:00:00 - 2025-12-22 06:30:00 | $905.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-14 18:00:00 - 2025-12-14 21:10:00 | LHR-YYZ | 8 hr 10 min | AC 859 | Air Canada

Toronto | 6 days 21 hr

[FLIGHT 1]: $905.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-21 18:10:00 - 2025-12-22 06:30:00 | YYZ-LHR | 7 hr 20 min | AC 854 | Air Canada

London, Heathrow | END"
918.0	15.5	0.0	0	2025-12-14T11:10:00	2025-12-23T11:20:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-14 11:10:00 - 2025-12-23 11:20:00 | $918.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-14 11:10:00 - 2025-12-14 14:20:00 | LHR-YYZ | 8 hr 10 min | AC 855 | Air Canada

Toronto | 8 days 8 hr 40 min

[FLIGHT 1]: $918.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-22 23:00:00 - 2025-12-23 11:20:00 | YYZ-LHR | 7 hr 20 min | AC 858 | Air Canada

London, Heathrow | END"
945.0	15.5	0.0	0	2025-12-13T11:10:00	2025-12-22T11:20:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-13 11:10:00 - 2025-12-22 11:20:00 | $945.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-13 11:10:00 - 2025-12-13 14:20:00 | LHR-YYZ | 8 hr 10 min | AC 855 | Air Canada

Toronto | 8 days 8 hr 40 min

[FLIGHT 1]: $945.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-21 23:00:00 - 2025-12-22 11:20:00 | YYZ-LHR | 7 hr 20 min | AC 858 | Air Canada

London, Heathrow | END"
945.0	15.5	0.0	0	2025-12-14T18:00:00	2025-12-22T11:20:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-14 18:00:00 - 2025-12-22 11:20:00 | $945.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-14 18:00:00 - 2025-12-14 21:10:00 | LHR-YYZ | 8 hr 10 min | AC 859 | Air Canada

Toronto | 7 days 1 hr 50 min

[FLIGHT 1]: $945.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-21 23:00:00 - 2025-12-22 11:20:00 | YYZ-LHR | 7 hr 20 min | AC 858 | Air Canada

London, Heathrow | END"
947.0	15.5	0.0	0	2025-12-14T18:00:00	2025-12-23T06:30:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-14 18:00:00 - 2025-12-23 06:30:00 | $947.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-14 18:00:00 - 2025-12-14 21:10:00 | LHR-YYZ | 8 hr 10 min | AC 859 | Air Canada

Toronto | 7 days 21 hr

[FLIGHT 1]: $947.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-22 18:10:00 - 2025-12-23 06:30:00 | YYZ-LHR | 7 hr 20 min | AC 854 | Air Canada

London, Heathrow | END"
