total_price	total_flight_hours	total_layover_hours	total_num_stops	departure_datetime	returning_datetime	start_city	end_city	stopover_cities	formatted_string
733.0	15.5	0.0	0	2025-12-03T11:10:00	2025-12-18T11:20:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-03 11:10:00 - 2025-12-18 11:20:00 | $733.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-03 11:10:00 - 2025-12-03 14:20:00 | LHR-YYZ | 8 hr 10 min | AC 855 | Air Canada

Toronto | 14 days 8 hr 40 min

[FLIGHT 1]: $733.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-17 23:00:00 - 2025-12-18 11:20:00 | YYZ-LHR | 7 hr 20 min | AC 858 | Air Canada

London, Heathrow | END"
733.0	15.5	0.0	0	2025-12-03T11:10:00	2025-12-18T06:30:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-03 11:10:00 - 2025-12-18 06:30:00 | $733.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-03 11:10:00 - 2025-12-03 14:20:00 | LHR-YYZ | 8 hr 10 min | AC 855 | Air Canada

Toronto | 14 days 3 hr 50 min

[FLIGHT 1]: $733.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-17 18:10:00 - 2025-12-18 06:30:00 | YYZ-LHR | 7 hr 20 min | AC 854 | Air Canada

London, Heathrow | END"
733.0	15.5	0.0	0	2025-12-04T11:10:00	2025-12-18T06:30:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-04 11:10:00 - 2025-12-18 06:30:00 | $733.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-04 11:10:00 - 2025-12-04 14:20:00 | LHR-YYZ | 8 hr 10 min | AC 855 | Air Canada

Toronto | 13 days 3 hr 50 min

[FLIGHT 1]: $733.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-17 18:10:00 - 2025-12-18 06:30:00 | YYZ-LHR | 7 hr 20 min | AC 854 | Air Canada

London, Heathrow | END"
733.0	15.5	0.0	0	2025-12-04T11:10:00	2025-12-18T11:20:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-04 11:10:00 - 2025-12-18 11:20:00 | $733.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-04 11:10:00 - 2025-12-04 14:20:00 | LHR-YYZ | 8 hr 10 min | AC 855 | Air Canada

Toronto | 13 days 8 hr 40 min

[FLIGHT 1]: $733.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-17 23:00:00 - 2025-12-18 11:20:00 | YYZ-LHR | 7 hr 20 min | AC 858 | Air Canada

London, Heathrow | END"
733.0	15.5	0.0	0	2025-12-05T11:10:00	2025-12-18T06:30:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-05 11:10:00 - 2025-12-18 06:30:00 | $733.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-05 11:10:00 - 2025-12-05 14:20:00 | LHR-YYZ | 8 hr 10 min | AC 855 | Air Canada

Toronto | 12 days 3 hr 50 min

[FLIGHT 1]: $733.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-17 18:10:00 - 2025-12-18 06:30:00 | YYZ-LHR | 7 hr 20 min | AC 854 | Air Canada

London, Heathrow | END"
733.0	15.5	0.0	0	2025-12-05T11:10:00	2025-12-18T11:20:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-05 11:10:00 - 2025-12-18 11:20:00 | $733.0 | 15 hr 30 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr 10 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-05 11:10:00 - 2025-12-05 14:20:00 | LHR-YYZ | 8 hr 10 min | AC 855 | Air Canada

Toronto | 12 days 8 hr 40 min

[FLIGHT 1]: $733.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-17 23:00:00 - 2025-12-18 11:20:00 | YYZ-LHR | 7 hr 20 min | AC 858 | Air Canada

London, Heathrow | END"
761.0	15.333333333333334	0.0	0	2025-12-03T13:00:00	2025-12-18T11:20:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-03 13:00:00 - 2025-12-18 11:20:00 | $761.0 | 15 hr 20 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-03 13:00:00 - 2025-12-03 16:00:00 | LHR-YYZ | 8 hr | AC 857 | Air Canada

Toronto | 14 days 7 hr

[FLIGHT 1]: $761.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-17 23:00:00 - 2025-12-18 11:20:00 | YYZ-LHR | 7 hr 20 min | AC 858 | Air Canada

London, Heathrow | END"
761.0	15.333333333333334	0.0	0	2025-12-03T13:00:00	2025-12-18T06:30:00	London, Heathrow	London, Heathrow	['Toronto']	"2025-12-03 13:00:00 - 2025-12-18 06:30:00 | $761.0 | 15 hr 20 min

London, Heathrow | START

[FLIGHT 1]: $0.0 | 8 hr | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2025-12-03 13:00:00 - 2025-12-03 16:00:00 | LHR-YYZ | 8 hr | AC 857 | Air Canada

Toronto | 14 days 2 hr 10 min

[FLIGHT 1]: $761.0 | 7 hr 20 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2025-12-17 18:10:00 - 2025-12-18 06:30:00 | YYZ-LHR | 7 hr 20 min | AC 854 | Air Canada

London, Heathrow | END"
782.0	29.666666666666668	10.45	2	2025-12-03T11:40:00	2025-12-18T09:35:00	London, Gatwick	London, Heathrow	['Toronto']	"2025-12-03 11:40:00 - 2025-12-18 09:35:00 | $782.0 | 1 day 5 hr 40 min

London, Gatwick | START

[FLIGHT 1]: $370.0 | 8 hr 20 min | 0 stops | ONE_WAY
[LEG 1]: 2025-12-03 11:40:00 - 2025-12-03 15:00:00 | LGW-YYZ | 8 hr 20 min | TS 123 | Air Transat

Toronto | 13 days 16 hr 15 min

[FLIGHT 2]: $412.0 | 21 hr 20 min | 2 stops | ONE_WAY
[LEG 1]: 2025-12-17 07:15:00 - 2025-12-17 08:55:00 | YYZ-LGA | 1 hr 40 min | PD 603 | Porter Airlines
[LAYOVER]: 6 hr 20 min
[LEG 2]: 2025-12-17 15:15:00 - 2025-12-17 17:08:00 | JFK-YYZ | 1 hr 53 min | DL 5106 | Delta Air Lines
[LAYOVER]: 4 hr 7 min
[LEG 3]: 2025-12-17 21:15:00 - 2025-12-18 09:35:00 | YYZ-LHR | 7 hr 20 min | VS 148 | Virgin Atlantic

London, Heathrow | END"
782.0	29.666666666666668	10.45	2	2025-12-04T11:40:00	2025-12-18T09:35:00	London, Gatwick	London, Heathrow	['Toronto']	"2025-12-04 11:40:00 - 2025-12-18 09:35:00 | $782.0 | 1 day 5 hr 40 min

London, Gatwick | START

[FLIGHT 1]: $370.0 | 8 hr 20 min | 0 stops | ONE_WAY
[LEG 1]: 2025-12-04 11:40:00 - 2025-12-04 15:00:00 | LGW-YYZ | 8 hr 20 min | TS 123 | Air Transat

Toronto | 12 days 16 hr 15 min

[FLIGHT 2]: $412.0 | 21 hr 20 min | 2 stops | ONE_WAY
[LEG 1]: 2025-12-17 07:15:00 - 2025-12-17 08:55:00 | YYZ-LGA | 1 hr 40 min | PD 603 | Porter Airlines
[LAYOVER]: 6 hr 20 min
[LEG 2]: 2025-12-17 15:15:00 - 2025-12-17 17:08:00 | JFK-YYZ | 1 hr 53 min | DL 5106 | Delta Air Lines
[LAYOVER]: 4 hr 7 min
[LEG 3]: 2025-12-17 21:15:00 - 2025-12-18 09:35:00 | YYZ-LHR | 7 hr 20 min | VS 148 | Virgin Atlantic

London, Heathrow | END"
782.0	29.666666666666668	10.45	2	2025-12-05T11:40:00	2025-12-18T09:35:00	London, Gatwick	London, Heathrow	['Toronto']	"2025-12-05 11:40:00 - 2025-12-18 09:35:00 | $782.0 | 1 day 5 hr 40 min

London, Gatwick | START

[FLIGHT 1]: $370.0 | 8 hr 20 min | 0 stops | ONE_WAY
[LEG 1]: 2025-12-05 11:40:00 - 2025-12-05 15:00:00 | LGW-YYZ | 8 hr 20 min | TS 123 | Air Transat

Toronto | 11 days 16 hr 15 min

[FLIGHT 2]: $412.0 | 21 hr 20 min | 2 stops | ONE_WAY
[LEG 1]: 2025-12-17 07:15:00 - 2025-12-17 08:55:00 | YYZ-LGA | 1 hr 40 min | PD 603 | Porter Airlines
[LAYOVER]: 6 hr 20 min
[LEG 2]: 2025-12-17 15:15:00 - 2025-12-17 17:08:00 | JFK-YYZ | 1 hr 53 min | DL 5106 | Delta Air Lines
[LAYOVER]: 4 hr 7 min
[LEG 3]: 2025-12-17 21:15:00 - 2025-12-18 09:35:00 | YYZ-LHR | 7 hr 20 min | VS 148 | Virgin Atlantic

London, Heathrow | END"
